DATA_GERACAO;HORA_GERACAO;ANO_ELEICAO;NUM_TURNO;DESCRICAO_ELEICAO;SIGLA_UF;SIGLA_UE;CODIGO_MUN;NOME_MUN;ZONA;COD_CARGO;DESC_CARGO;TIPO_LEGENDA;NOME_COLIGACAO;CAMPOSICAO_LEGENDA;PARTIDO;NUM_PARTIDO;NOME_PART;QTDE_VOTOS;QTDE_VOTOS_LEGENDA;SEQUENCIAL_COLIGACAO
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;6;DEPUTADO FEDERAL;C;UNIDOS PARA AVANÇAR;#NE#;PTC;36;PARTIDO TRABALHISTA CRISTÃO;11;0;220000000007
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;6;DEPUTADO FEDERAL;C;UNIDOS PARA AVANÇAR;#NE#;PT do B;70;PARTIDO TRABALHISTA DO BRASIL;14;1;220000000007
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;6;DEPUTADO FEDERAL;C;UNIDOS PARA AVANÇAR;#NE#;PR;22;PARTIDO DA REPÚBLICA;1290;20;220000000007
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;6;DEPUTADO FEDERAL;C;UNIDOS PARA AVANÇAR;#NE#;PSDB;45;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;37;176;220000000007
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;6;DEPUTADO FEDERAL;P;PARTIDO SOCIALISMO E LIBERDADE;#NE#;PSOL;50;PARTIDO SOCIALISMO E LIBERDADE;0;4;220000000003
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;7;DEPUTADO ESTADUAL;C;ALIANÇA POR UMA RONDONIA MELHOR PARA TODOS II;#NE#;DEM;25;DEMOCRATAS;26;6;220000000015
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;7;DEPUTADO ESTADUAL;C;ALIANÇA POR UMA RONDONIA MELHOR PARA TODOS II;#NE#;PC do B;65;PARTIDO COMUNISTA DO BRASIL;287;10;220000000015
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;7;DEPUTADO ESTADUAL;C;ALIANÇA POR UMA RONDONIA MELHOR PARA TODOS II;#NE#;PDT;12;PARTIDO DEMOCRÁTICO TRABALHISTA;28;68;220000000015
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;7;DEPUTADO ESTADUAL;C;AVANÇA RONDONIA - O PROGRESSO PRECISA CONTINUAR;#NE#;PP;11;PARTIDO PROGRESSISTA;93;135;220000000013
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;7;DEPUTADO ESTADUAL;C;AVANÇA RONDONIA - O PROGRESSO PRECISA CONTINUAR;#NE#;PTB;14;PARTIDO TRABALHISTA BRASILEIRO;659;87;220000000013
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;7;DEPUTADO ESTADUAL;C;AVANÇA RONDONIA - O PROGRESSO PRECISA CONTINUAR;#NE#;PTN;19;PARTIDO TRABALHISTA NACIONAL;2848;79;220000000013
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;7;DEPUTADO ESTADUAL;C;PARA RONDONIA DESENVOLVER;#NE#;PTC;36;PARTIDO TRABALHISTA CRISTÃO;0;1;220000000010
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;7;DEPUTADO ESTADUAL;C;PARA RONDONIA DESENVOLVER;#NE#;PSDB;45;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;4262;231;220000000010
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;7;DEPUTADO ESTADUAL;C;PPS/PSDC;#NE#;PPS;23;PARTIDO POPULAR SOCIALISTA;46;22;220000000016
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;7;DEPUTADO ESTADUAL;C;PPS/PSDC;#NE#;PSDC;27;PARTIDO SOCIAL DEMOCRATA CRISTÃO;514;7;220000000016
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;7;DEPUTADO ESTADUAL;C;RONDONIA DE TODOS NÓS;#NE#;PRB;10;PARTIDO REPUBLICANO BRASILEIRO;19;4;220000000008
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;7;DEPUTADO ESTADUAL;C;RONDONIA DE TODOS NÓS;#NE#;PSC;20;PARTIDO SOCIAL CRISTÃO;85;6;220000000008
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;7;DEPUTADO ESTADUAL;C;RONDONIA DE TODOS NÓS;#NE#;PT do B;70;PARTIDO TRABALHISTA DO BRASIL;48;2;220000000008
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;7;DEPUTADO ESTADUAL;C;RONDONIA DE TODOS NÓS;#NE#;PR;22;PARTIDO DA REPÚBLICA;87;54;220000000008
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;7;DEPUTADO ESTADUAL;C;RONDÔNIA MELHOR PARA TODOS;#NE#;PSB;40;PARTIDO SOCIALISTA BRASILEIRO;28;9;220000000011
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;7;DEPUTADO ESTADUAL;C;RONDÔNIA MELHOR PARA TODOS;#NE#;PT;13;PARTIDO DOS TRABALHADORES;696;169;220000000011
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;7;DEPUTADO ESTADUAL;C;UNIDOS POR RONDÔNIA;#NE#;PHS;31;PARTIDO HUMANISTA DA SOLIDARIEDADE;88;5;220000000021
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;7;DEPUTADO ESTADUAL;C;UNIDOS POR RONDÔNIA;#NE#;PRP;44;PARTIDO REPUBLICANO PROGRESSISTA;383;35;220000000021
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;7;DEPUTADO ESTADUAL;C;UNIDOS POR RONDÔNIA;#NE#;PSL;17;PARTIDO SOCIAL LIBERAL;31;2;220000000021
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;7;DEPUTADO ESTADUAL;C;UNIDOS POR RONDÔNIA;#NE#;PMN;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;12;6;220000000021
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;7;DEPUTADO ESTADUAL;P;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;#NE#;PMDB;15;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;2524;269;220000000005
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;7;DEPUTADO ESTADUAL;P;PARTIDO SOCIALISMO E LIBERDADE;#NE#;PSOL;50;PARTIDO SOCIALISMO E LIBERDADE;0;1;220000000003
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00310;ALTA FLORESTA DO OESTE;17;7;DEPUTADO ESTADUAL;P;PARTIDO VERDE;#NE#;PV;43;PARTIDO VERDE;36;11;220000000004
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;3;GOVERNADOR;C;ALIANÇA POR UMA RONDÔNIA MELHOR PARA TODOS;#NE#;PMDB;15;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;705;0;220000000001
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;3;GOVERNADOR;C;AVANÇA RONDONIA;#NE#;PPS;23;PARTIDO POPULAR SOCIALISTA;2699;0;220000000014
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;3;GOVERNADOR;C;RONDÔNIA MELHOR PARA TODOS;#NE#;PT;13;PARTIDO DOS TRABALHADORES;1187;0;220000000011
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;3;GOVERNADOR;P;PARTIDO SOCIALISMO E LIBERDADE;#NE#;PSOL;50;PARTIDO SOCIALISMO E LIBERDADE;6;0;220000000003
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;5;SENADOR;C;ALIANÇA POR UMA RONDÔNIA MELHOR PARA TODOS;#NE#;PMDB;15;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;3239;0;220000000001
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;5;SENADOR;C;AVANÇA RONDONIA;#NE#;PP;11;PARTIDO PROGRESSISTA;4313;0;220000000014
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;5;SENADOR;C;RONDÔNIA MELHOR PARA TODOS;#NE#;PT;13;PARTIDO DOS TRABALHADORES;1882;0;220000000011
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;5;SENADOR;C;UNIDOS PARA AVANÇAR;#NE#;PSC;20;PARTIDO SOCIAL CRISTÃO;1210;0;220000000007
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;5;SENADOR;P;PARTIDO SOCIALISMO E LIBERDADE;#NE#;PSOL;50;PARTIDO SOCIALISMO E LIBERDADE;262;0;220000000003
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;6;DEPUTADO FEDERAL;C;ALIANÇA POR UMA RONDONIA MELHOR PARA TODOS I;#NE#;DEM;25;DEMOCRATAS;0;3;220000000002
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;6;DEPUTADO FEDERAL;C;ALIANÇA POR UMA RONDONIA MELHOR PARA TODOS I;#NE#;PC do B;65;PARTIDO COMUNISTA DO BRASIL;0;1;220000000002
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;6;DEPUTADO FEDERAL;C;ALIANÇA POR UMA RONDONIA MELHOR PARA TODOS I;#NE#;PDT;12;PARTIDO DEMOCRÁTICO TRABALHISTA;10;16;220000000002
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;6;DEPUTADO FEDERAL;C;ALIANÇA POR UMA RONDONIA MELHOR PARA TODOS I;#NE#;PRTB;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;0;1;220000000002
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;6;DEPUTADO FEDERAL;C;ALIANÇA POR UMA RONDONIA MELHOR PARA TODOS I;#NE#;PMDB;15;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;1134;58;220000000002
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;6;DEPUTADO FEDERAL;C;AVANÇA RONDONIA - O PROGRESSO NÃO PODE PARAR;#NE#;PHS;31;PARTIDO HUMANISTA DA SOLIDARIEDADE;4;8;220000000018
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;6;DEPUTADO FEDERAL;C;AVANÇA RONDONIA - O PROGRESSO NÃO PODE PARAR;#NE#;PPS;23;PARTIDO POPULAR SOCIALISTA;24;12;220000000018
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;6;DEPUTADO FEDERAL;C;AVANÇA RONDONIA - O PROGRESSO NÃO PODE PARAR;#NE#;PP;11;PARTIDO PROGRESSISTA;717;126;220000000018
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;6;DEPUTADO FEDERAL;C;AVANÇA RONDONIA - O PROGRESSO NÃO PODE PARAR;#NE#;PRP;44;PARTIDO REPUBLICANO PROGRESSISTA;0;9;220000000018
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;6;DEPUTADO FEDERAL;C;AVANÇA RONDONIA - O PROGRESSO NÃO PODE PARAR;#NE#;PSDC;27;PARTIDO SOCIAL DEMOCRATA CRISTÃO;1;1;220000000018
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;6;DEPUTADO FEDERAL;C;AVANÇA RONDONIA - O PROGRESSO NÃO PODE PARAR;#NE#;PSL;17;PARTIDO SOCIAL LIBERAL;0;2;220000000018
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;6;DEPUTADO FEDERAL;C;AVANÇA RONDONIA - O PROGRESSO NÃO PODE PARAR;#NE#;PTB;14;PARTIDO TRABALHISTA BRASILEIRO;811;42;220000000018
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;6;DEPUTADO FEDERAL;C;AVANÇA RONDONIA - O PROGRESSO NÃO PODE PARAR;#NE#;PTN;19;PARTIDO TRABALHISTA NACIONAL;0;59;220000000018
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;6;DEPUTADO FEDERAL;C;AVANÇA RONDONIA - O PROGRESSO NÃO PODE PARAR;#NE#;PV;43;PARTIDO VERDE;5;1;220000000018
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;6;DEPUTADO FEDERAL;C;AVANÇA RONDONIA - O PROGRESSO NÃO PODE PARAR;#NE#;PMN;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;0;2;220000000018
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;6;DEPUTADO FEDERAL;C;RONDÔNIA MELHOR PARA TODOS;#NE#;PSB;40;PARTIDO SOCIALISTA BRASILEIRO;60;0;220000000011
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;6;DEPUTADO FEDERAL;C;RONDÔNIA MELHOR PARA TODOS;#NE#;PT;13;PARTIDO DOS TRABALHADORES;2586;83;220000000011
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;6;DEPUTADO FEDERAL;C;UNIDOS PARA AVANÇAR;#NE#;PRB;10;PARTIDO REPUBLICANO BRASILEIRO;32;10;220000000007
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;6;DEPUTADO FEDERAL;C;UNIDOS PARA AVANÇAR;#NE#;PSC;20;PARTIDO SOCIAL CRISTÃO;2;27;220000000007
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;6;DEPUTADO FEDERAL;C;UNIDOS PARA AVANÇAR;#NE#;PTC;36;PARTIDO TRABALHISTA CRISTÃO;1;1;220000000007
27/03/2015;13:22:56;2010;1;ELEIÇÕES 2010;RO;RO;00736;ALTO ALEGRE DOS PARECIS;19;6;DEPUTADO FEDERAL;C;UNIDOS PARA AVANÇAR;#NE#;PT do B;70;PARTIDO TRABALHISTA DO BRASIL;4;0;220000000007
