CMI;renda
27.96376526;193.32
12.67389959;752.13
14.56664239;319.92
13.69863014;293.59
24.40318302;314.32
11.19402985;331.13
18.49405548;253.52
9.9535501;426.14
18.15736382;198.4
23.06079665;357.11
13.36898396;280.21
10.9375;353.82
4.494382022;321.13
33.99433428;117.47
15.32538125;287.19
18.03278689;380.89
16.3291966;197.94
19.19956733;162.49
13.55578728;239.92
22.35904083;206.54
22.38403452;459.27
22.28796844;478.9
13.36432307;186.2
15.5003567;544.31
21.41900937;261.75
12.87553648;149.79
18.80733945;169.63
9.554140127;147.65
18.54193005;159.16
15.8005618;221.14
19.30501931;406.25
14.22901946;416.77
16.89171206;812.43
23.66345311;235.34
11.48742325;375.51
19.91701245;325.6
18.80877743;216.14
18.51851852;309.16
21.62941601;399.35
15.38461538;297.3
17.67905712;245.84
21.41788253;206.39
11.38868479;167.93
15.9668835;129.49
21.07728337;200.85
22.14242968;225.05
13.28535843;490.67
18.25383158;350.88
11.25401929;248.28
15.50433296;449.32
18.88276947;198.37
14.13427562;223.4
17.40947075;387.41
22.61306533;257.44
40.28776978;387.07
21.17263844;314.7
20.01429593;188.14
20.97315436;175.96
18.23708207;217.92
16.13291596;342.6
21.0330962;274.97
18.9701897;176.16
16.42857143;275.2
14.82422702;229.91
16.23461639;292.63
12.34930903;188.95
15.30091806;281.76
15.89299764;193.62
9.911894273;243.96
18.75689592;174.93
16.45123384;222.92
19.93704092;422.49
16.1097852;221.24
33.85178408;287.44
18.39659179;379.34
22.75903374;236.69
17.26844584;171.61
18.41231512;363.91
12.02749141;204.57
18.57340447;505.03
11.62790698;215.45
14.64208243;270.21
18.3714002;366.44
12.53656498;339.79
18.01222258;134.8
14.90196078;220.07
18.69599372;287.71
21.33632791;225.34
20.44680045;227.19
18.62789641;157.72
24.46982055;309.62
16.6453265;266.71
24.40087146;642.52
18.18981957;251.79
15.52967277;253.77
27.56629036;174.99
16.38892715;327.52
11.42857143;278.52
21.21539015;420.02
21.19736465;227.66
16.17647059;276.35
19.90236575;491.75
15.69000952;600.75
23.95209581;272.9
20.6185567;223.44
26.25298329;259.69
16.70463174;228.99
23.45844504;248.63
22.07814964;190.61
18.82845188;186.85
19.07442151;181.13
18.16118048;276.02
24.69135802;243.59
16.53093473;518.53
16.10120759;454.43
21.21281992;318.83
18.58027632;234.48
15.57191393;383.95
26.22377622;279.61
19.55835962;276.46
8.174386921;152.12
14.67148629;377.73
14.44223108;215.09
15.06024096;248.43
12.95097132;318.83
17.79581642;307.9
19.02092;398.3
11.0701107;196.34
18.0401804;317.73
22.10884354;243.04
14.59531181;385.2
18.24162679;185.83
21.88868043;382.32
20.3562341;273.74
17.88432268;317.65
12.37623762;196.84
15.58152476;211.02
12.77013752;214.22
16.59184072;297.45
21.97802198;202.54
9.661835749;420.95
22.08835341;209.3
16.28222524;296.49
22.69428685;280.3
14.3442623;237.44
17.17967072;333.65
22.85092492;322.15
18.06451613;186.61
28.30188679;315.2
19.92702779;502.04
19.16124367;526.45
16.91896705;543.09
16.53084983;340.92
15.19835137;315.53
16.27772976;157.36
17.208413;320.55
15.5950096;497.24
17.24137931;475.27
23.70990237;354.65
24.27745665;396.68
10.09081736;395.38
29.55665025;284.86
15.2027027;412.66
23.87267905;203.42
16.59574468;419.37
22.63770908;690.04
13.79990143;348.5
21.3345438;560.47
21.49178255;349.25
10.25641026;227.06
18.12994662;448.3
23.14814815;240.38
15.88502269;297.28
22.72727273;615.87
29.61275626;365.16
16.2037037;349.27
20.05347594;353.21
24.83443709;535.21
16.87763713;378.14
12.60504202;288.07
13.05483029;314.06
14.25178147;355.15
24.8447205;304.94
9.074410163;416.73
13.84222551;716.22
9.689922481;362.25
17.39427012;332.12
21.77858439;431.95
20.14846235;406.21
14.02103155;358.25
17.62114537;531.77
19.8915009;322.45
10.1744186;308.27
22.42152466;260.72
13.66120219;252.85
24.09638554;317.95
24.16918429;339.25
16.48351648;374.91
12.42236025;423.33
24.33628319;410.89
7.963594994;278.94
10.20408163;239.51
25.606469;256.41
4.310344828;423.77
20.83333333;371.22
25.52204176;233.01
7.614213198;442.28
55.21472393;275.94
19.04761905;364.98
18.79699248;305.65
17.93283339;562.22
8.522727273;434.31
16.80672269;302.5
19.83002833;282.7
15.23809524;485.09
0;334.87
19.49317739;324.59
21.67712493;521.54
16.12903226;500.81
8.130081301;234.55
14.83679525;452.83
16.04278075;171.56
14.70588235;449.79
16.99716714;485.06
32.01219512;286.56
17.64335224;416.72
25.64102564;361.24
24.05498282;323.39
30.80390684;225.99
12.54220936;713.56
15.03409795;755.41
7.462686567;284.64
31.42076503;299.16
16.46090535;264.42
13.39285714;353.06
4.95049505;357.25
18.43317972;515.72
23.52941176;251.45
22.70381837;402.17
5.208333333;229.53
12.39669421;499.13
7.692307692;329.74
21.55172414;280.94
19.23076923;308.15
18.92744479;400.74
12.82051282;303.9
19.08396947;226.22
8.547008547;502.29
19.68911917;395.79
20.37037037;345.06
6.578947368;273.6
4.77326969;305.34
12.38390093;219
30.09575923;435.33
17.44186047;297.65
16.37764933;348.35
7.633587786;286.16
10.86956522;345.6
8.130081301;427.99
24.3902439;257.49
41.2371134;379.44
10.66666667;264.75
9.328358209;453.47
12.28878648;889.73
16.91093574;301.49
8.450704225;374.06
13.03214596;604.42
15.76872536;535.89
11.69590643;305.3
16.12903226;437.18
5.128205128;285.25
20.94240838;318.37
22.77432712;406.44
11.79941003;308.59
21.67182663;302.77
12.14574899;296.18
15.31040268;608.92
7.082152975;200.67
24.48979592;388.27
14.21800948;376.42
27.43142145;165.17
5.617977528;171.7
19.23076923;243.22
21.27659574;307.68
0;274.52
11.82033097;235.05
16.39344262;384.67
15.89595376;316.38
12.44813278;323.3
15.38461538;393.78
9.756097561;275.92
16.52892562;371.77
5.555555556;299.08
17.1990172;319.53
21.42857143;220.24
12.26993865;296.2
0;309.68
12.62626263;183.53
29.15451895;336.39
14.19878296;420.77
16.81759379;220.85
14.92537313;378.8
14.86013986;384
33.89830508;268.91
7.042253521;465.94
12.48378003;1060.21
22.65005663;265.36
23.16602317;410.95
63.49206349;390.75
6.756756757;307.95
13.33333333;368.69
12.10826211;436.23
14.81964768;423.9
11.56069364;149.53
12.26993865;171.24
18.81533101;206.56
19.53274607;172.13
23.07692308;159.62
11.60714286;169.94
13.04049417;138.74
12.65822785;549.47
16.63893511;180.93
18.735363;230.13
10.25056948;203.98
14.28571429;183.85
21.83039463;210.96
16.25;160.05
15.99052413;169.2
10.6993737;204.78
10.60358891;286.29
12.95896328;217.02
15.28050644;372.72
16.69316375;249.83
9.421265141;230
3.367003367;151.57
17.30580138;523.37
10.29411765;287.98
21.65037734;295.01
14.09604983;193.23
20.18348624;106.31
23.33333333;196.65
2.732240437;211.79
17.22652885;188.5
26.00472813;233.88
16.49746193;195.2
14.22351234;193.77
21.84666117;204.57
12.67281106;161.23
15.54568528;196
21.16402116;180.62
21.13770594;151.73
12.79788173;225.14
14.76269316;209.85
16.47286822;228.84
17.4563591;109.4
20.93596059;139.85
11.14754098;131.18
14.08450704;349.84
10.17354877;202.94
17.82304265;172.6
10.12373453;194.79
8.454673556;323.2
15.63937443;219
24.09803519;319.79
12.3119015;200.77
12.67605634;182.32
12.5;186.5
21.11716621;182.88
20.37201063;244
12.68115942;260.05
14.86779716;266.96
17.83982936;224.79
13.13131313;278.42
10.31636864;170.68
15.59792028;220.58
27.70398482;272.32
17.74042951;259.02
8.345606284;282.3
14.49275362;161.19
15.35203812;260.46
16.15695326;472.21
21.60493827;187.15
29.63671128;106.7
26.78571429;154.84
19.94017946;266.47
13.28168235;251.02
14.6627566;222.04
7.957559682;231.09
22.09944751;233.45
19.92337165;306.58
10.93643199;240.43
10.83591331;185.16
14.76793249;188.57
18.53759011;226.35
11.79245283;220.9
16.79240691;333.23
25.17985612;221.64
14.74719101;119.93
12.66968326;151.8
12.38591917;212.9
18.06588735;287.25
15.58688552;605.7
14.55133387;135.2
15.16079632;209.06
19.36444886;323.81
10.15228426;203.56
23.67601246;125.08
13.996139;292.63
23.50081037;218.31
15.10067114;237.85
15.05154639;257.12
11.2640801;225.51
14.28571429;187.02
26.01156069;208.7
13.66120219;248.93
21.20141343;153.18
10.67615658;255.19
16.65124884;290.79
11.87904968;197.37
19.67799642;230.3
17.62452107;178.1
21.53229845;232.64
31.87919463;95.59
21.54195011;173.43
15.78947368;154.02
12.83269962;261.44
20.61122957;199.69
10.75268817;132.08
5.199306759;144.42
17.12506487;159.65
14.94321578;241.81
21.97802198;236.03
16.64355062;174.12
25.49575071;213.09
13.40033501;162.03
26.54109589;147.14
28.50356295;180.02
20.46783626;256.28
12.54705144;219.94
14.55938697;241.95
11.67315175;169.5
16.03023589;422.47
18.40490798;165.92
7.220216606;266.86
16.46505376;181.16
11.0864745;207.73
8.54214123;224.25
12.01011378;158.01
20.66115702;230.23
20.39215686;431.08
16.53398653;153.9
18.75183123;201.51
20.90592334;185.19
13.86321627;171.7
11.85770751;268.42
17.66004415;288.11
8.429926238;219.7
16.29213483;178.12
10.90442591;230.52
11.69317119;490.92
29.22755741;226.4
9.981116806;386.08
11.59678858;132.33
3.676470588;190.73
15.60379919;163.61
13.33333333;147.09
17.77362021;127.59
15.36155864;261.28
20.56168506;250.92
17.24137931;299.76
14.56876457;266.84
29.16666667;232.08
5.494505495;132.4
17.72151899;216.36
17.55833137;398.2
13.70599301;201.99
9.00090009;297.07
14.08450704;168.14
13.33333333;238.52
15.25658807;126.07
10.71811361;134.61
12.23491028;234.76
14.39790576;144.69
7.460155985;204.08
15.25054466;195.15
13.2231405;285.3
12.98701299;230.01
12.29508197;195.57
11.9047619;245.8
12.15066829;179.35
10.38961039;168.96
11.85436071;164.49
15.28384279;248.81
24.51708767;162.23
13.86896222;352.91
13.64030592;419.96
21.23552124;178.84
15.92257259;770.52
13.96244584;179.31
16.21073961;358.56
11.96410768;286.18
19.23076923;252.69
11.72332943;295.03
17.09401709;151.73
8.456659619;151.38
11.18210863;178.39
19.08957416;124.34
24.17302799;201.12
18.27242525;269.97
20.94240838;120.33
14.92537313;187.2
17.20183486;208.62
19.91150442;222.77
25.93659942;261.31
17.14285714;171.6
17.32306781;356.75
16.22596154;261.24
12.92407108;177.2
12.70685579;212.73
12.03332305;169.78
11.12484549;172.79
13.88631735;233.11
13.38934103;180.98
19.43005181;161.21
15.18138801;268.66
8.728179551;247.23
20.00645369;228.7
11.3441045;262.02
12.51396648;253.98
31.71247357;198.92
22.34636872;237
11.18568233;326.68
25.26315789;213.52
7.874015748;263.16
20.96985583;268
17.23587616;305.66
18.71101871;201.78
12.76595745;280.56
10.84598698;344.93
14.30615165;217.45
19.7044335;282.24
17.99485861;261.42
7.751937984;182.18
20.28985507;191.49
21.53432032;138.27
14.64435146;211.82
12.26415094;212.29
14.59854015;205.11
13.46969319;254.74
18.77934272;252.97
11.27819549;354.47
21.71492205;221.68
24.09638554;202.49
9.345794393;223.7
26.70623145;257.86
9.501187648;324.89
25.90673575;164.37
10.47120419;220.46
21.27659574;361.38
21.8878249;493.17
20.59925094;209
23.31606218;233.01
6.920415225;250.98
16.29327902;278.3
26.02230483;215.84
14.49275362;229.37
10.50420168;211.61
10.33591731;227.98
4.651162791;207.54
14.67505241;242.63
25;259.12
9.975062344;206.21
28.35051546;210.59
9.111617312;236.79
18.73935264;157.34
13.956905;396.92
12.65822785;207.12
17.40391588;276.43
11.8623962;245.08
7.246376812;180.38
16.89189189;218.45
18.75;155.58
21.27659574;203.3
11.00244499;265.67
11.49425287;175.88
28.48242101;197.47
5.730659026;235.83
31.17505995;181.98
9.868421053;233.09
11.60541586;287.08
6.651884701;277.74
18.86792453;255.54
14.92537313;199.38
16.09195402;373.69
14.92537313;200.87
8.762322015;304.88
7.912957468;282.36
16.3599182;166.4
27.77777778;192.29
14.63414634;184.07
9.230769231;307.69
28.01724138;260.46
16.39344262;296.46
24.19354839;235.96
25.6916996;177.19
13;269.1
30.40540541;356.48
15.80066849;292.36
5.952380952;186.85
20.6185567;207.78
14.59854015;211.54
12.74671053;528.55
23.88059701;200.3
30.48780488;267.88
18.34862385;273.24
13.28903654;324.27
21.95121951;360.81
9.828009828;201.02
18.2012848;280.62
12.15469613;421.06
22.84263959;160.36
19.23076923;203.1
20.97902098;218.4
17.04545455;257.85
26.47058824;255
25.48725637;396.34
26.84563758;236
24.73958333;320.43
23.01790281;188.86
18.25293351;250.11
7.722007722;215.72
14.85148515;206.38
12.30769231;264.47
14.35406699;188.79
21.31438721;156.13
18.71101871;179.2
12.29088426;292.32
24.81389578;206.1
18.56763926;177.28
19.90049751;182.04
33.89830508;254.76
16.97792869;227.89
25.64102564;149.09
19.0023753;173.87
10.13513514;242.12
17.04545455;182.73
12.75510204;250.36
14.67590705;223.78
15.30153015;242.91
15.64722617;148.18
18.76675603;218.4
32.07810321;291.07
8.875739645;289.01
17.11491443;195.27
12.64488936;204.1
21.81322427;216.87
30.6122449;294.58
18.30663616;153.64
15.24390244;269.62
20.7253886;312.83
31.50525088;215.43
27.36318408;144.47
29.41176471;223.79
16.66666667;167.87
15.53398058;215
9.345794393;236.13
13.79310345;253.12
18.735363;180.2
19.65601966;237.6
17.96407186;223.58
21.50537634;372.24
14.21800948;224.04
36.29032258;214.25
24.82269504;218.53
13.15789474;260.84
13.72997712;277.18
22.36135957;192.46
13.39285714;193.03
12.56544503;208.61
20.22667829;472.53
16.21621622;323.32
33.76623377;213.78
4.424778761;162.12
22.17036173;323.52
21.00840336;193.22
15.04273504;263.45
0;152.41
26.08695652;198.86
20.14846235;557.2
21.56334232;244.87
16.92420898;223.32
17.208413;279.67
16.12903226;370.6
19.7856554;226
23.58490566;224.73
22.93577982;199.1
23.39181287;168.62
13.26899879;249.56
11.30653266;289.66
21.69197397;155.22
9.933774834;184.29
15.46391753;258.48
10.86956522;245.28
7.317073171;277.27
4.237288136;207.52
14.73296501;213.15
29.78723404;227.66
16.61129568;227.8
28.16901408;226.94
25.06265664;328.86
22.98850575;206.48
28.43601896;229.33
18.29268293;220.96
22.05882353;308.71
33.01886792;140.49
10.75268817;256.58
10.69518717;250.11
18.0878553;217.78
20.83333333;227.3
9.708737864;193.55
24.50980392;231.88
17.67676768;224.07
14.12429379;167.75
17.24137931;364.59
14.04494382;213.51
11.36363636;234.55
15.625;274.72
8.869179601;315.78
15.87301587;260.25
17.64705882;201.34
29.62962963;240.69
14.77832512;182.28
17.01469451;183.26
19.21229587;245.4
18.60622463;396.44
9.756097561;188.82
16.50165017;190.54
15.12287335;194.7
20.36021926;257.15
15.83710407;360.09
25.23659306;193.66
21.95121951;263.64
18.43317972;186.48
11.23595506;246.83
16.51536059;739.85
17.45771959;229.01
11.91658391;349.2
26.2273033;368.54
29.0237467;200.97
47.61904762;244.91
13.76146789;172.4
5.235602094;258.85
24.30555556;193.5
15.29902643;227.31
14.34977578;256.06
12.21309749;246.49
16.46994236;263.74
20.75471698;199.36
18.18181818;243.41
26.58486708;237.25
11.2244898;262.88
14.50488145;181.48
19.54397394;240.49
13.69863014;221.72
16.1184927;344.5
13.93589488;343.59
18.50843767;240.12
20.49780381;199.92
15.2817574;193.18
12.53918495;215.94
14.7601476;269.68
16.55629139;278.47
15.33219761;252.34
10.69518717;264.79
9.880028229;225.1
17.93051924;361.63
10.86956522;241.79
18.01801802;249.5
10.65891473;191.16
15.80570547;279.97
7.560815253;301.5
13.85681293;219.61
17.25490196;246.69
12.70207852;318.84
15.13011902;259.47
20.49180328;300.07
11.83939602;267.23
13.00813008;202.69
9.836065574;201.93
17.47930083;223.75
17.47572816;241.49
18.18181818;237.33
24.37043054;220.78
11.39351446;304.07
12.33045623;243.71
10.85271318;221.12
12.19160591;366.8
14.60742544;313.61
21.46690519;205.38
20.87286528;167.46
12.87878788;275.03
11.9047619;208.29
15.81463773;366.61
17.23813112;459.98
18.09210526;167.75
12.06801975;279.42
26.04166667;230.02
24.79338843;239.92
10.78960275;605.08
12.45901639;227.42
17.93185894;291.33
13.2829844;812.61
10.12373453;261.19
15.78458682;244.39
7.079646018;239.32
22.33009709;192.89
20.14871672;170.49
20.58823529;221.06
17.62114537;303.35
12.63042284;231.79
15.79436358;242.8
15.35087719;281.61
14.69450889;241.33
12.07729469;317.75
16.53696498;199.25
18.70657402;255.58
10.93560146;192.66
13.15789474;277.5
16.23445077;268.98
12.28395943;426.08
14.43174985;257.47
19.82651797;178.98
21.76541717;372.75
14.32378414;295.1
21.84031507;219.26
11.33786848;325.83
17.38672287;204.55
6.976744186;291.85
23.44454463;274.06
14.90619378;251.11
12.21957041;259.1
12.40875912;205.87
11.0889963;209.93
18.29268293;194.31
12.76595745;244.87
19.13265306;283.99
16.2999185;282.19
13.42281879;270.77
16.25320787;240.02
28.82882883;263.65
9.495982469;363.51
14.76331079;433.27
13.92608463;224.19
11.35749054;263.43
12.01201201;398.67
10.96121417;220.56
9.299781182;355.11
12.77619119;289.84
13.51888668;265.97
19.90632319;229.15
16.18122977;224.68
16.68056714;231.84
17.07779886;257.22
14.21366346;260.18
14.88833747;258.16
11.68014376;187.2
21.01694915;292.58
17.0257123;242.34
18.39464883;234.1
9.691848907;273.71
22.14650767;171.9
23.32535885;203.09
10.91269841;251.89
10.78167116;241.5
12.33616037;267.63
10.40723982;301.47
16.33298209;241.49
10.31592521;206.1
13.42281879;292.21
14.26377002;347.59
15.5572558;329.82
7.675438596;277.27
13.79310345;261.25
13.53637902;281.25
21.95945946;313.46
11.25339542;316.17
11.21076233;281.12
9.88822012;207.87
16.48351648;191.48
19.60154242;221.47
14.38848921;264.64
12.84472988;256.85
11.64874552;200.5
15.91695502;294.06
12.76102088;215.09
10.81081081;188.75
24.22907489;209.51
14.1903172;215.84
19.72157773;212.72
13.22751323;234.58
17.66784452;206.12
15.90397599;310.28
14.05975395;239.34
14.67692858;314.56
12.66666667;254.65
17.94526694;267.52
12.90812453;255.92
12.05065359;368.95
18.69158879;218.11
28.28282828;176.47
16.40689089;214.08
23.25581395;210.64
15.56683587;229.69
16.44895985;257.18
12.24722301;301.35
14.77832512;371.89
11.12347052;252.2
17.87773933;280.59
8.417508418;211.97
15.91343094;436.87
15.06024096;266.77
15.17376407;373.81
13.03639326;208.81
21.78217822;212.94
11.42857143;298.93
14.37216339;198.87
16.71660621;384.26
15.83467525;203.65
12.08702659;183.54
14.46131598;313.73
29.41176471;223.05
12.5698324;190.79
9.335529929;263.64
11.50627615;181.26
16.11665388;279.55
12.21317543;273.72
16.20233156;202.74
9.079118029;407.78
15.32278322;426.22
15.60283688;252.48
15.20912548;205.55
8.592910849;294.21
28.16901408;286.87
15.89403974;441.5
11.19402985;334.85
19.84126984;247.47
7.073386384;356.88
15.30891197;445.19
13.58695652;299.23
15.92920354;376.87
15.55209953;309.78
12.27573182;255.43
5.128205128;266.47
8.021390374;232.18
17.69911504;274.38
12.40310078;295.86
11.38952164;297.72
